product,rating,price,product url
"Muliap Air Purifiers for Bedroom,True H13 HEPA Filter,Remove 99.97% Pet Dander,Smoke,Odor,Dust,Mold,Wildfire Particles.Quiet Air Purifier,Small Desktop Air Cleaners,With NightLight,Timmer,Kj80  ",4.5 out of 5 stars,39.99,https://amazon.com/Muliap-Purifiers-Wildfire-Particles-Quiet-NightLight/dp/B0B5X1ZRNP/ref=sr_1_13?keywords=air+purifier&qid=1669257575&sr=8-13
"Air Purifiers for Bedroom, H13 True HEPA Filter for Home large Room, Air Filter with Sleep Model, 24db Filtration System, 360° Air Intake for Pet Dander Dust Pollen Smoke Allergie, White  ",4.6 out of 5 stars,49.99,https://amazon.com/Purifiers-Bedroom-Filter-Filtration-Allergie/dp/B0B4RZ4PW8/ref=sr_1_14?keywords=air+purifier&qid=1669257575&sr=8-14
"Air Purifier, Home Air Purifiers For Large Room Up To 1620 sq.ft, VEWIOR H13 True HEPA Air Filter With 5 Timer Settings 3 Fan Speeds, Ultra-Quiet Air Cleaner For Pets Dander Hair Smoke Smell Pollen  ",4.3 out of 5 stars,139.87,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MDMyNjYzMzU4MTE3ODcwOjE2NjkyNTc1NzU6c3BfbXRmOjIwMDA2ODMwNjE3NDk5ODo6MDo6&url=%2FPurifier-Purifiers-VEWIOR-Settings-Ultra-Quiet%2Fdp%2FB0B41Z7B6H%2Fref%3Dsr_1_15_sspa%3Fkeywords%3Dair%2Bpurifier%26qid%3D1669257575%26sr%3D8-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA2WYGMPFFUQ7CD
"Hynik Alviera Air Purifiers for Bedroom, Air Purifier w/ H13 True HEPA Filter for Smoke Pollen Dander Hair Smell, 24db Filtration System for Office Living Room Kitchen, Sleep Mode, with Sleep Eye Mask  ",4.8 out of 5 stars,39.99,https://amazon.com/Hynik-Alviera-Purifiers-Purifier-Filtration/dp/B09QMBNVV1/ref=sr_1_16?keywords=air+purifier&qid=1669257575&sr=8-16
"RIGOGLIOSO Air Purifier for Home with True HEPA Filters,Low Noise Portable Air Purifiers with Night Light,Desktop USB Air Cleaner  ",4.3 out of 5 stars,36.99,https://amazon.com/RIGOGLIOSO-Purifier-Filters-Portable-Purifiers/dp/B09MVKM32M/ref=sr_1_17?keywords=air+purifier&qid=1669257575&sr=8-17
"Bissell air400 Professional Air Purifier with HEPA and Carbon Filters for Large Room and Home, Quiet Bedroom Air Cleaner for Allergies, Pets, Dust, Dander, Pollen, Smoke, Hair, Odors, Smart  ",4.6 out of 5 stars,172.12,https://amazon.com/Bissell-air400-Purifier-CirQulate-24791/dp/B07FG643VG/ref=sr_1_18?keywords=air+purifier&qid=1669257575&sr=8-18
"HATHASPACE Smart Air Purifier 2.0 for Home Large Room with True HEPA Air Filter for Allergens, Pets, Smoke, Removes 99.9% of Dust, Mold, Pet Dander, Odors, Pollen - HSP002, 1500 Sq. Ft. Coverage  ",4.7 out of 5 stars,299.99,https://amazon.com/Hathaspace-Smart-Medical-Grade-Purifier/dp/B07V56QH7T/ref=sr_1_19?keywords=air+purifier&qid=1669257575&sr=8-19
"LEVOIT Air Purifiers for Home Large Room, H13 True HEPA Filter Cleaner with Washable Filter for Allergies, Smoke, Dust, Pollen, Quiet Odor Eliminators for Bedroom, Pet Hair Remover, Vital 100, White  ",4.7 out of 5 stars,121.06,https://amazon.com/LEVOIT-Allergies-Eliminators-Vital-100/dp/B07X25BNBR/ref=sr_1_20?keywords=air+purifier&qid=1669257575&sr=8-20
"Germ Guardian Air Purifier for Home, Bedroom, Office, H13 HEPA Filter, Removes Dust, Allergens, Smoke, Pollen, Odors, Mold, UV-C Light Helps Kill Germs, 22 Inch, Dark Gray, AC4285E  ",4.7 out of 5 stars,99.99,https://amazon.com/GermGuardian-AC4825-Sanitizer-Allergens-Guardian/dp/B004VGIGVY/ref=sr_1_21?keywords=air+purifier&qid=1669257575&sr=8-21
"HATHASPACE Smart Air Purifier 2.0 for Home Large Room with True HEPA Air Filter for Allergens, Pets, Smoke, Removes 99.9% of Dust, Mold, Pet Dander, Odors, Pollen - HSP002, 1500 Sq. Ft. Coverage  ",4.7 out of 5 stars,299.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MDMyNjYzMzU4MTE3ODcwOjE2NjkyNTc1NzU6c3BfYnRmOjIwMDAzNjc2MTA0NTk5ODo6MDo6&url=%2FHathaspace-Smart-Medical-Grade-Purifier%2Fdp%2FB07V56QH7T%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dair%2Bpurifier%26qid%3D1669257575%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
